date,temp_celsius,location,latitude,longitude
2016-09-15,17.7,Better_Zone_1,56.7,16.5
2016-09-16,16.1,Better_Zone_1,56.7,16.5
2016-09-17,15.2,Better_Zone_1,56.7,16.5
2016-09-18,14.3,Better_Zone_1,56.7,16.5
2016-09-19,13.7,Better_Zone_1,56.7,16.5
2016-09-20,14.7,Better_Zone_1,56.7,16.5
2016-09-21,14.3,Better_Zone_1,56.7,16.5
2016-09-22,14.0,Better_Zone_1,56.7,16.5
2016-09-23,14.7,Better_Zone_1,56.7,16.5
2016-09-24,14.3,Better_Zone_1,56.7,16.5
2016-09-25,14.5,Better_Zone_1,56.7,16.5
2016-09-26,15.3,Better_Zone_1,56.7,16.5
2016-09-27,14.9,Better_Zone_1,56.7,16.5
2016-09-28,15.3,Better_Zone_1,56.7,16.5
2016-09-29,15.6,Better_Zone_1,56.7,16.5
2016-09-30,13.9,Better_Zone_1,56.7,16.5
2016-10-01,13.2,Better_Zone_1,56.7,16.5
2016-10-02,13.0,Better_Zone_1,56.7,16.5
2016-10-03,12.6,Better_Zone_1,56.7,16.5
2016-10-04,10.6,Better_Zone_1,56.7,16.5
2016-10-05,10.1,Better_Zone_1,56.7,16.5
2016-10-06,10.8,Better_Zone_1,56.7,16.5
2016-10-07,10.1,Better_Zone_1,56.7,16.5
2016-10-08,9.0,Better_Zone_1,56.7,16.5
2016-10-09,9.0,Better_Zone_1,56.7,16.5
2016-10-10,9.5,Better_Zone_1,56.7,16.5
2016-10-11,7.9,Better_Zone_1,56.7,16.5
2016-10-12,8.0,Better_Zone_1,56.7,16.5
2016-10-13,8.1,Better_Zone_1,56.7,16.5
2016-10-14,7.4,Better_Zone_1,56.7,16.5
2016-10-15,7.0,Better_Zone_1,56.7,16.5
2016-10-16,8.0,Better_Zone_1,56.7,16.5
2016-10-17,8.8,Better_Zone_1,56.7,16.5
2016-10-18,9.4,Better_Zone_1,56.7,16.5
2016-10-19,9.9,Better_Zone_1,56.7,16.5
2016-10-20,9.4,Better_Zone_1,56.7,16.5
2016-10-21,7.6,Better_Zone_1,56.7,16.5
2016-10-22,6.5,Better_Zone_1,56.7,16.5
2016-10-23,7.8,Better_Zone_1,56.7,16.5
2016-10-24,7.8,Better_Zone_1,56.7,16.5
2016-10-25,6.4,Better_Zone_1,56.7,16.5
2016-10-26,5.7,Better_Zone_1,56.7,16.5
2016-10-27,9.3,Better_Zone_1,56.7,16.5
2016-10-28,10.5,Better_Zone_1,56.7,16.5
2016-10-29,8.1,Better_Zone_1,56.7,16.5
2016-10-30,7.2,Better_Zone_1,56.7,16.5
2016-10-31,6.4,Better_Zone_1,56.7,16.5
2016-11-01,7.6,Better_Zone_1,56.7,16.5
2016-11-02,3.9,Better_Zone_1,56.7,16.5
2016-11-03,2.5,Better_Zone_1,56.7,16.5
2016-11-04,3.5,Better_Zone_1,56.7,16.5
2016-11-05,6.0,Better_Zone_1,56.7,16.5
2016-11-06,2.7,Better_Zone_1,56.7,16.5
2016-11-07,0.7,Better_Zone_1,56.7,16.5
2016-11-08,-0.4,Better_Zone_1,56.7,16.5
2016-11-09,2.2,Better_Zone_1,56.7,16.5
2016-11-10,2.5,Better_Zone_1,56.7,16.5
2016-11-11,1.4,Better_Zone_1,56.7,16.5
2016-11-12,0.4,Better_Zone_1,56.7,16.5
2016-11-13,0.7,Better_Zone_1,56.7,16.5
2016-11-14,1.5,Better_Zone_1,56.7,16.5
2016-11-15,5.4,Better_Zone_1,56.7,16.5
2016-11-16,4.9,Better_Zone_1,56.7,16.5
2016-11-17,6.2,Better_Zone_1,56.7,16.5
2016-11-18,7.5,Better_Zone_1,56.7,16.5
2016-11-19,6.4,Better_Zone_1,56.7,16.5
2016-11-20,5.9,Better_Zone_1,56.7,16.5
2016-11-21,9.0,Better_Zone_1,56.7,16.5
2016-11-22,8.6,Better_Zone_1,56.7,16.5
2016-11-23,7.7,Better_Zone_1,56.7,16.5
2016-11-24,5.0,Better_Zone_1,56.7,16.5
2016-11-25,3.9,Better_Zone_1,56.7,16.5
2016-11-26,7.3,Better_Zone_1,56.7,16.5
2016-11-27,3.5,Better_Zone_1,56.7,16.5
2016-11-28,0.8,Better_Zone_1,56.7,16.5
2016-11-29,2.8,Better_Zone_1,56.7,16.5
2016-11-30,4.4,Better_Zone_1,56.7,16.5
2016-12-01,1.2,Better_Zone_1,56.7,16.5
2016-12-02,1.5,Better_Zone_1,56.7,16.5
2016-12-03,0.5,Better_Zone_1,56.7,16.5
2016-12-04,1.7,Better_Zone_1,56.7,16.5
2016-12-05,4.8,Better_Zone_1,56.7,16.5
2016-12-06,1.1,Better_Zone_1,56.7,16.5
2016-12-07,2.9,Better_Zone_1,56.7,16.5
2016-12-08,9.0,Better_Zone_1,56.7,16.5
2016-12-09,7.2,Better_Zone_1,56.7,16.5
2016-12-10,6.8,Better_Zone_1,56.7,16.5
2016-12-11,5.3,Better_Zone_1,56.7,16.5
2016-12-12,0.3,Better_Zone_1,56.7,16.5
2016-12-13,2.5,Better_Zone_1,56.7,16.5
2016-12-14,2.3,Better_Zone_1,56.7,16.5
2016-12-15,0.3,Better_Zone_1,56.7,16.5
2016-12-16,0.8,Better_Zone_1,56.7,16.5
2016-12-17,0.3,Better_Zone_1,56.7,16.5
2016-12-18,3.5,Better_Zone_1,56.7,16.5
2016-12-19,3.7,Better_Zone_1,56.7,16.5
2016-12-20,3.6,Better_Zone_1,56.7,16.5
2016-12-21,3.4,Better_Zone_1,56.7,16.5
2016-12-22,5.0,Better_Zone_1,56.7,16.5
2016-12-23,4.6,Better_Zone_1,56.7,16.5
2016-12-24,5.2,Better_Zone_1,56.7,16.5
2016-12-25,4.9,Better_Zone_1,56.7,16.5
